charter_flights,prev_charter_flights,charter_percent_change_flights,charter_difference_change_flights,commuter_flights,prev_commuter_flights,commuter_percent_change_flights,commuter_difference_change_flights,jet_flights,prev_jet_flights,jet_percent_change_flights,jet_difference_change_flights,total_flights,prev_total_flights,total_percent_change_flights,total_difference_change_flights,charter_passengers,prev_charter_passengers,charter_percent_change_passengers,charter_difference_change_passengers,commuter_passengers,prev_commuter_passengers,commuter_percent_change_passengers,commuter_difference_change_passengers,jet_passengers,prev_jet_passengers,jet_percent_change_passengers,jet_difference_change_passengers,total_passengers,prev_total_passengers,total_percent_change_passengers,total_difference_change_passengers,year,month,prev_year
52,24,116.70%,28,"5,705","2,906",96.30%,"2,799","14,486","7,491",93.40%,"6,995","20,243","10,421",94.30%,"9,822","1,322",723,82.80%,599,"140,051","43,646",220.90%,"96,405","1,312,027","585,827",124.00%,"726,200","1,453,400","630,196",130.60%,"823,204",22,1,21
25,28,-10.70%,-3,"5,245","2,482",111.30%,"2,763","14,376","7,014",105.00%,"7,362","19,646","9,524",106.30%,"10,122",539,825,-34.70%,-286,"165,456","44,312",273.40%,"121,144","1,477,631","605,612",144.00%,"872,019","1,643,626","650,749",152.60%,"992,877",22,2,21
41,44,-6.80%,-3,"6,382","3,285",94.30%,"3,097","17,812","9,531",86.90%,"8,281","24,235","12,860",88.50%,"11,375","1,388","1,260",10.20%,128,"262,582","73,136",259.00%,"189,446","2,158,546","875,351",146.60%,"1,283,195","2,422,516","949,747",155.10%,"1,472,769",22,3,21
47,68,-30.90%,-21,"7,213","3,575",101.80%,"3,638","17,705","10,475",69.00%,"7,230","24,965","14,118",76.80%,"10,847","1,779","2,010",-11.50%,-231,"322,286","93,446",244.90%,"228,840","2,259,962","1,184,571",90.80%,"1,075,391","2,584,027","1,280,027",101.90%,"1,304,000",22,4,21
54,56,-3.60%,-2,"7,666","4,667",64.30%,"2,999","19,219","11,483",67.40%,"7,736","26,939","16,206",66.20%,"10,733","1,435","1,589",-9.70%,-154,"338,143","145,500",132.40%,"192,643","2,425,608","1,446,171",67.70%,"979,437","2,765,186","1,593,260",73.60%,"1,171,926",22,5,21
52,17,205.90%,35,"7,563","6,940",9.00%,623,"18,631","12,657",47.20%,"5,974","26,246","19,614",33.80%,"6,632","2,628",502,423.50%,"2,126","314,903","223,453",40.90%,"91,450","2,404,302","1,682,727",42.90%,"721,575","2,721,833","1,906,682",42.80%,"815,151",22,6,21
11,14,-21.40%,-3,"8,795","7,615",15.50%,"1,180","19,677","14,456",36.10%,"5,221","28,483","22,085",29.00%,"6,398",569,346,64.50%,223,"332,131","252,917",31.30%,"79,214","2,456,909","2,005,149",22.50%,"451,760","2,789,609","2,258,412",23.50%,"531,197",22,7,21
26,21,23.80%,5,"8,864","7,748",14.40%,"1,116","19,643","14,837",32.40%,"4,806","28,533","22,606",26.20%,"5,927","1,067",460,132.00%,607,"319,614","255,586",25.10%,"64,028","2,439,536","1,970,820",23.80%,"468,716","2,760,217","2,226,866",24.00%,"533,351",22,8,21
23,19,21.10%,4,"8,206","8,035",2.10%,171,"19,101","14,289",33.70%,"4,812","27,330","22,343",22.30%,"4,987","1,128",585,92.80%,543,"292,645","254,390",15.00%,"38,255","2,319,007","1,700,269",36.40%,"618,738","2,612,780","1,955,244",33.60%,"657,536",22,9,21
44,47,-6.40%,-3,"7,294","7,627",-4.40%,-333,"20,421","15,569",31.20%,"4,852","27,759","23,243",19.40%,"4,516","1,724","1,791",-3.70%,-67,"281,431","309,842",-9.20%,"-28,411","2,591,679","2,012,338",28.80%,"579,341","2,874,834","2,323,971",23.70%,"550,863",22,10,21
45,28,60.70%,17,"7,048","6,834",3.10%,214,"19,211","16,773",14.50%,"2,438","26,304","23,635",11.30%,"2,669","2,020","1,087",85.80%,933,"264,736","252,050",5.00%,"12,686","2,300,761","1,940,049",18.60%,"360,712","2,567,517","2,193,186",17.10%,"374,331",22,11,21
47,26,80.80%,21,"6,134","6,435",-4.70%,-301,"18,060","16,212",11.40%,"1,848","24,241","22,673",6.90%,"1,568","2,023",809,150.10%,"1,214","223,242","228,924",-2.50%,"-5,682","2,107,100","1,842,766",14.30%,"264,334","2,332,365","2,072,499",12.50%,"259,866",22,12,21
