charter_flights,prev_charter_flights,charter_percent_change_flights,charter_difference_change_flights,commuter_flights,prev_commuter_flights,commuter_percent_change_flights,commuter_difference_change_flights,jet_flights,prev_jet_flights,jet_percent_change_flights,jet_difference_change_flights,total_flights,prev_total_flights,total_percent_change_flights,total_difference_change_flights,charter_passengers,prev_charter_passengers,charter_percent_change_passengers,charter_difference_change_passengers,commuter_passengers,prev_commuter_passengers,commuter_percent_change_passengers,commuter_difference_change_passengers,jet_passengers,prev_jet_passengers,jet_percent_change_passengers,jet_difference_change_passengers,total_passengers,prev_total_passengers,total_percent_change_passengers,total_difference_change_passengers,year,month,prev_year
44,46,-4.30%,-2,"6,795","5,136",32.30%,"1,659","20,553","19,535",5.20%,"1,018","27,392","24,717",10.80%,"2,675","1,307","1,902",-31.30%,-595,"201,902","137,321",47.00%,"64,581","2,152,657","2,043,633",5.30%,"109,024","2,355,866","2,182,856",7.90%,"173,010",20,1,19
26,49,-46.90%,-23,"6,292","4,678",34.50%,"1,614","19,775","18,737",5.50%,"1,038","26,093","23,464",11.20%,"2,629",776,"2,129",-63.60%,"-1,353","216,953","141,433",53.40%,"75,520","2,178,646","2,106,221",3.40%,"72,425","2,396,375","2,249,783",6.50%,"146,592",20,2,19
21,42,-50.00%,-21,"6,159","5,984",2.90%,175,"18,243","21,805",-16.30%,"-3,562","24,423","27,831",-12.20%,"-3,408",442,"1,016",-56.50%,-574,"104,919","215,487",-51.30%,"-110,568","1,248,805","2,601,645",-52.00%,"-1,352,840","1,354,166","2,818,148",-51.90%,"-1,463,982",20,3,19
0,32,-100%,-32,"2,117","6,029",-64.90%,"-3,912","5,128","22,474",-77.20%,"-17,346","7,245","28,503",-74.60%,"-21,258",0,874,-100%,-874,"4,101","230,212",-98.20%,"-226,111","84,146","2,699,361",-96.90%,"-2,615,215","88,247","2,929,573",-97.00%,"-2,841,326",20,4,19
0,34,-100%,-34,"2,529","6,864",-63.20%,"-4,335","4,032","23,019",-82.50%,"-18,987","6,561","29,883",-78.00%,"-23,322",0,888,-100%,-888,"15,252","234,105",-93.50%,"-218,853","179,626","2,857,426",-93.70%,"-2,677,800","194,878","3,091,531",-93.70%,"-2,896,653",20,5,19
0,22,-100%,-22,"3,425","7,505",-54.40%,"-4,080","5,551","22,206",-75.00%,"-16,655","8,976","29,711",-69.80%,"-20,735",0,626,-100%,-626,"29,762","241,280",-87.70%,"-211,518","386,619","2,846,383",-86.40%,"-2,459,764","416,381","3,087,663",-86.50%,"-2,671,282",20,6,19
2,21,-90.50%,-19,"3,738","7,677",-51.30%,"-3,939","10,072","22,831",-55.90%,"-12,759","13,812","30,529",-54.80%,"-16,717",55,614,-91.00%,-559,"29,373","229,977",-87.20%,"-200,604","632,212","2,939,949",-78.50%,"-2,307,737","661,640","3,170,540",-79.10%,"-2,508,900",20,7,19
21,12,75.00%,9,"3,758","8,360",-55.00%,"-4,602","9,255","23,575",-60.70%,"-14,320","13,034","31,947",-59.20%,"-18,913",562,402,39.80%,160,"28,837","255,074",-88.70%,"-226,237","593,491","2,956,456",-79.90%,"-2,362,965","622,890","3,211,932",-80.60%,"-2,589,042",20,8,19
20,29,-31.00%,-9,"3,744","7,535",-50.30%,"-3,791","7,354","22,150",-66.80%,"-14,796","11,118","29,714",-62.60%,"-18,596",884,889,-0.60%,-5,"31,919","208,789",-84.70%,"-176,870","530,013","2,602,047",-79.60%,"-2,072,034","562,816","2,811,725",-80.00%,"-2,248,909",20,9,19
9,34,-73.50%,-25,"3,382","7,544",-55.20%,"-4,162","8,292","23,496",-64.70%,"-15,204","11,683","31,074",-62.40%,"-19,391",916,736,24.50%,180,"33,468","260,873",-87.20%,"-227,405","673,474","2,813,882",-76.10%,"-2,140,408","707,858","3,075,491",-77.00%,"-2,367,633",20,10,19
13,39,-66.70%,-26,"2,886","6,558",-56.00%,"-3,672","9,029","21,848",-58.70%,"-12,819","11,928","28,445",-58.10%,"-16,517",908,891,1.90%,17,"28,091","226,702",-87.60%,"-198,611","650,504","2,477,618",-73.70%,"-1,827,114","679,503","2,705,211",-74.90%,"-2,025,708",20,11,19
12,57,-78.90%,-45,"2,800","6,294",-55.50%,"-3,494","8,917","21,521",-58.60%,"-12,604","11,729","27,872",-57.90%,"-16,143",379,"1,510",-74.90%,"-1,131","35,167","221,847",-84.10%,"-186,680","653,448","2,538,590",-74.30%,"-1,885,142","688,994","2,761,947",-75.10%,"-2,072,953",20,12,19
