charter_flights,prev_charter_flights,charter_percent_change_flights,charter_difference_change_flights,commuter_flights,prev_commuter_flights,commuter_percent_change_flights,commuter_difference_change_flights,jet_flights,prev_jet_flights,jet_percent_change_flights,jet_difference_change_flights,total_flights,prev_total_flights,total_percent_change_flights,total_difference_change_flights,charter_passengers,prev_charter_passengers,charter_percent_change_passengers,charter_difference_change_passengers,commuter_passengers,prev_commuter_passengers,commuter_percent_change_passengers,commuter_difference_change_passengers,jet_passengers,prev_jet_passengers,jet_percent_change_passengers,jet_difference_change_passengers,total_passengers,prev_total_passengers,total_percent_change_passengers,total_difference_change_passengers,year,month,prev_year
25,44,-43.20%,-19,"2,906","6,795",-57.20%,"-3,889","7,491","20,553",-63.60%,"-13,062","10,422","27,392",-62.00%,"-16,970",723,"1,307",-44.70%,-584,"43,646","201,902",-78.40%,"-158,256","585,827","2,152,657",-72.80%,"-1,566,830","630,196","2,355,866",-73.20%,"-1,725,670",21,1,20
28,26,7.70%,2,"2,482","6,292",-60.60%,"-3,810","7,014","19,775",-64.50%,"-12,761","9,524","26,093",-63.50%,"-16,569",825,776,6.30%,49,"44,312","216,953",-79.60%,"-172,641","605,612","2,178,646",-72.20%,"-1,573,034","650,749","2,396,375",-72.80%,"-1,745,626",21,2,20
44,21,109.50%,23,"3,285","6,159",-46.70%,"-2,874","9,531","18,243",-47.80%,"-8,712","12,860","24,423",-47.30%,"-11,563","1,260",442,185.10%,818,"73,136","104,919",-30.30%,"-31,783","875,351","1,248,805",-29.90%,"-373,454","949,747","1,354,166",-29.90%,"-404,419",21,3,20
68,2,3300.00%,66,"3,575","2,117",68.90%,"1,458","10,475","5,126",104.40%,"5,349","14,118","7,245",94.90%,"6,873","2,010",2,100400.00%,"2,008","93,446","4,101",2178.60%,"89,345","1,184,571","84,144",1307.80%,"1,100,427","1,280,027","88,247",1350.50%,"1,191,780",21,4,20
56,4,1300.00%,52,"4,667","2,529",84.50%,"2,138","11,483","4,028",185.10%,"7,455","16,206","6,561",147.00%,"9,645","1,589",4,39625.00%,"1,585","145,500","15,252",854.00%,"130,248","1,446,171","179,622",705.10%,"1,266,549","1,593,260","194,878",717.60%,"1,398,382",21,5,20
17,2,750.00%,15,"6,940","3,425",102.60%,"3,515","12,657","5,549",128.10%,"7,108","19,614","8,976",118.50%,"10,638",502,2,25000.00%,500,"223,453","29,762",650.80%,"193,691","1,682,727","386,617",335.20%,"1,296,110","1,906,682","416,381",357.90%,"1,490,301",21,6,20
14,2,600.00%,12,"7,615","3,738",103.70%,"3,877","14,456","10,077",43.50%,"4,379","22,085","13,817",59.80%,"8,268",346,55,529.10%,291,"252,917","29,373",761.10%,"223,544","2,005,149","632,212",217.20%,"1,372,937","2,258,412","661,640",241.30%,"1,596,772",21,7,20
21,21,0.00%,0,"7,748","3,758",106.20%,"3,990","14,837","9,255",60.30%,"5,582","22,606","13,034",73.40%,"9,572",460,562,-18.10%,-102,"255,586","28,837",786.30%,"226,749","1,970,820","593,491",232.10%,"1,377,329","2,226,866","622,890",257.50%,"1,603,976",21,8,20
19,20,-5.00%,-1,"8,035","3,744",114.60%,"4,291","14,289","7,354",94.30%,"6,935","22,343","11,118",101.00%,"11,225",585,884,-33.80%,-299,"254,390","31,919",697.00%,"222,471","1,700,269","530,013",220.80%,"1,170,256","1,955,244","562,816",247.40%,"1,392,428",21,9,20
47,9,422.20%,38,"7,627","3,382",125.50%,"4,245","15,569","8,292",87.80%,"7,277","23,243","11,683",98.90%,"11,560","1,791",916,95.50%,875,"309,842","33,468",825.80%,"276,374","2,012,338","673,474",198.80%,"1,338,864","2,323,971","707,858",228.30%,"1,616,113",21,10,20
28,13,115.40%,15,"6,834","2,886",136.80%,"3,948","16,773","9,029",85.80%,"7,744","23,635","11,928",98.10%,"11,707","1,087",908,19.70%,179,"252,050","28,091",797.30%,"223,959","1,940,049","650,504",198.20%,"1,289,545","2,193,186","679,503",222.80%,"1,513,683",21,11,20
26,12,116.70%,14,"6,435","2,800",129.80%,"3,635","16,212","8,917",81.80%,"7,295","22,673","11,729",93.30%,"10,944",809,379,113.50%,430,"228,924","35,167",551.00%,"193,757","1,842,766","653,448",182.00%,"1,189,318","2,072,499","688,994",200.80%,"1,383,505",21,12,20
